text,label
"IV.3 Liquidity Conditions and the Operating Procedure of Monetary Policy The RBI Act 1934 amended in 2016 requires the RBI to place the operating procedure relating to the implementation of monetary policy and changes thereto from time to time, if any, in the public domain.",dovish
"k Monetary Policy Report April 2019 To sum up, the RBI’s forex operations and currency Movements in government cash balances are directly expansion were the prime drivers of durable liquidity reflected in LAF positions on most occasions.",dovish
"Second, the vegetable prices decline troughed in January 2017 and thereafter showed a m-o-m increase of 0.1 per cent in February.",dovish
The share of GFCF in aggregate demand declined to 32.5 per cent in Q1:2019-20 from 32.8 per cent a year ago.,dovish
"Corporate tax collections jumped by 61.3 per cent, supported by strong corporate performance while customs duties collections rose by 46.6 per cent on increased imports.",dovish
"The growth growth in Q1 and 12.1 per cent in July-August 2024 on in services exports was mainly driven by software, the back of buoyant domestic demand.",dovish
"As this Monetary Policy Report (MPR) goes for release, G20 finance ministers and central bank governors have the global macroeconomic outlook is overcast with committed to use all available policy tools to deal with the COVID-19 pandemic.",dovish
"In the first half of September, yields softened as these apprehensions were allayed, the central government amounting to `31,907 crore along with (i) the resumption of portfolio debt during H1:2021-22.",dovish
"While the near-term prospects are bolstered by the Professional forecasters polled in the September lower base of last year, the outlook is contingent 2021 round of the Reserve Bank’s survey expect real on the evolving COVID-19 trajectory.",dovish
"In Asia, where growth impulses have remained The Japanese economy expanded at a strong pace in reasonably resilient to the global turmoil, the Q2:2018 after contracting in the previous quarter, Indonesian economy picked up in Q2:2018, driven by boosted by a rebound in household consumption private consumption and imports.",dovish
Global growth projections are based on July 2016 and January 2017 outlook for 2017-18. updates of the IMF’s World Economic Outlook.,dovish
"Going ahead, private consumption enhanced labour force participation; and improved will get support from improved prospects for rural quality of fiscal spending.",dovish
An appreciation of the Indian rupee by 5 per provide a boost to domestic demand and from lower cent could soften infl ation by around 20 bps but also tax revenues.,dovish
The the International Monetary Fund (IMF) revised its proportion of respondents expecting the general global growth forecast for 2023 marginally upwards price level to increase by more than the current rate to 3.0 per cent from its April projection of 2.8 per declined considerably for both the horizons vis-à-vis cent (Chart I.2).,dovish
"However, prices fell again by 0.4 per cent largely due to lower food prices.",dovish
"Standing Liquidity Facility (SLF) at the prevailing The INR exhibited lower volatility than its emerging repo rate effective January 31, 2024.",dovish
"As a result, rate cuts, driven by weak employment data.",dovish
