Date,NIFTY_Close,IndiaVIX,VIX_Fwd_Avg_5D,Risk_Off
2014-01-08,6174.6,16.32,16.238,0
2014-01-09,6168.35,16.18,16.18,0
2014-01-10,6171.45,15.58,16.07,0
2014-01-13,6272.75,15.95,15.954000000000002,0
2014-01-14,6241.85,15.74,15.774000000000001,0
2014-01-15,6320.9,15.42,15.646,0
2014-01-16,6318.9,15.54,15.612,0
2014-01-17,6261.65,15.41,15.491999999999999,0
2014-01-20,6303.95,15.35,15.454000000000002,0
2014-01-21,6313.8,15.55,15.540000000000001,0
2014-01-22,6338.95,15.85,15.548000000000002,0
2014-01-23,6345.65,15.58,15.632,0
2014-01-24,6266.75,15.83,16.296,0
2014-01-27,6135.85,18.67,16.73,0
2014-01-28,6126.25,17.72,17.168,0
2014-01-29,6120.25,18.04,17.502,1
2014-01-30,6073.7,17.25,17.7,1
2014-01-31,6089.5,16.82,17.619999999999997,1
2014-02-03,6001.8,18.27,17.814,1
2014-02-04,6000.9,18.69,17.992,1
2014-02-05,6022.4,18.93,18.330000000000002,1
2014-02-06,6036.3,18.94,18.676,1
2014-02-07,6063.2,18.55,18.832,1
2014-02-10,6053.45,19.05,18.82,1
2014-02-11,6062.7,18.63,18.52,1
2014-02-12,6084.0,17.43,18.292,1
2014-02-13,6001.1,17.8,17.913999999999998,1
2014-02-14,6048.35,16.66,17.27,1
2014-02-17,6073.3,15.83,16.625999999999998,0
2014-02-18,6127.1,15.41,16.154,0
2014-02-19,6152.75,15.07,15.626,0
2014-02-20,6091.45,15.16,15.102,0
2014-02-21,6155.45,14.04,14.8075,0
2014-02-24,6186.1,14.3575,14.5155,0
2014-02-25,6200.05,13.95,14.292499999999999,0
2014-02-26,6238.8,13.955,14.096,0
2014-02-28,6276.95,14.1775,14.3445,0
2014-03-03,6221.45,15.2825,14.351499999999998,0
2014-03-04,6297.95,14.3925,14.329999999999998,0
2014-03-05,6328.65,13.8425,14.434000000000001,0
2014-03-06,6401.15,14.475,14.9425,0
2014-03-07,6526.65,16.72,15.4415,0
2014-03-10,6537.25,17.7775,16.028,0
2014-03-11,6511.9,17.325,16.667499999999997,0
2014-03-12,6516.9,17.04,17.1365,0
2014-03-13,6493.1,16.82,17.082,0
2014-03-14,6504.2,16.4475,16.952,0
2014-03-18,6516.65,17.1275,16.8635,0
2014-03-19,6524.05,16.8825,16.8375,0
2014-03-20,6483.1,16.91,16.7105,0
2014-03-21,6493.2,16.185,16.595999999999997,0
2014-03-22,6494.9,15.875,16.478,0
2014-03-24,6583.5,16.5375,16.485500000000002,0
2014-03-25,6589.75,16.92,16.6565,0
2014-03-26,6601.4,17.765,17.094,0
2014-03-27,6641.75,18.3725,17.645000000000003,1
2014-03-28,6695.9,18.63,18.662,1
2014-03-31,6704.2,21.6225,19.415,1
2014-04-01,6721.05,20.685,20.104499999999998,1
2014-04-02,6752.55,21.2125,20.8515,1
2014-04-03,6736.1,22.1075,21.663,1
2014-04-04,6694.35,22.6875,22.329,1
2014-04-07,6695.05,24.9525,23.5745,1
2014-04-09,6796.2,26.9125,25.075499999999998,1
2014-04-10,6796.4,28.7175,26.490999999999996,1
2014-04-11,6776.3,29.185,28.3285,1
2014-04-15,6733.1,31.875,29.57,1
2014-04-16,6675.3,31.16,30.357999999999997,1
2014-04-17,6779.4,30.8525,31.491499999999995,1
2014-04-21,6817.65,34.385,32.3255,1
2014-04-22,6815.35,33.355,32.177,1
2014-04-23,6840.8,31.1325,32.081,1
2014-04-25,6782.75,30.68,32.1875,1
2014-04-28,6761.25,31.385,31.5205,1
2014-04-29,6715.25,31.05,30.968,1
2014-04-30,6696.4,30.5925,31.3525,1
2014-05-02,6694.8,33.055,32.053999999999995,1
2014-05-05,6699.35,34.1875,32.4305,1
2014-05-06,6715.3,33.2675,32.943,1
2014-05-07,6652.55,33.6125,33.6845,1
2014-05-08,6659.85,34.3,34.6145,1
2014-05-09,6858.8,37.705,35.198,1
2014-05-12,7014.25,37.105,34.95399999999999,1
2014-05-13,7108.75,32.0475,34.7155,1
2014-05-14,7108.75,32.42,35.2085,1
2014-05-15,7123.15,36.765,32.525999999999996,1
2014-05-16,7203.0,24.2925,29.231,1
2014-05-19,7263.55,20.63,26.668,1
2014-05-20,7275.5,19.2325,23.766,1
2014-05-21,7252.9,17.91,19.979999999999997,1
2014-05-22,7276.4,17.835,18.6625,1
2014-05-23,7367.1,17.705,18.5045,1
2014-05-26,7359.05,19.84,18.477999999999998,1
2014-05-27,7318.0,19.1,18.4075,1
2014-05-28,7329.65,17.5575,18.178500000000003,1
2014-05-29,7235.65,16.69,17.904500000000002,1
2014-05-30,7229.95,16.335,17.236,0
2014-06-02,7362.5,16.4975,16.575000000000003,0
2014-06-03,7415.85,15.795,16.1765,0
2014-06-04,7402.25,15.565,15.927999999999997,0
2014-06-05,7474.1,15.4475,15.857499999999998,0
2014-06-06,7583.4,15.9825,15.976999999999999,0
2014-06-09,7654.6,17.095,16.1505,0
2014-06-10,7656.4,16.6625,16.4495,0
2014-06-11,7626.85,17.06,16.7405,0
2014-06-12,7649.9,16.9025,17.0965,0
2014-06-13,7542.1,17.7625,17.274,1
2014-06-16,7533.55,17.9825,17.4805,1
2014-06-17,7631.7,17.695,17.784499999999998,1
2014-06-18,7558.2,18.58,18.1525,1
2014-06-19,7540.7,18.7425,18.3695,1
2014-06-20,7511.45,18.8475,18.5655,1
2014-06-23,7493.35,18.9625,18.863999999999997,1
2014-06-24,7580.2,19.1875,18.8105,1
2014-06-25,7569.25,18.3125,18.6025,1
2014-06-26,7493.2,17.7025,18.3585,1
2014-06-27,7508.8,17.6275,18.1405,1
2014-06-30,7611.35,17.8725,17.8355,1
2014-07-01,7634.7,17.6625,17.687,1
2014-07-02,7725.15,17.57,17.7075,1
2014-07-03,7714.8,17.805,17.813,1
2014-07-04,7751.6,18.155,18.119999999999997,1
2014-07-07,7787.15,19.4075,18.4235,1
2014-07-08,7623.2,19.18,18.547,1
2014-07-09,7585.0,18.1875,18.179000000000002,1
2014-07-10,7567.75,15.965,17.692500000000003,1
2014-07-11,7459.6,15.7225,16.9235,0
