,Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
0,01-Jan-14,15.12,15.58,15.1,15.58,15.12,0.46,3.04
1,02-Jan-14,15.58,16.97,15.33,16.55,15.58,0.97,6.23
2,03-Jan-14,16.55,17.32,15.79,15.87,16.55,-0.68,-4.11
3,06-Jan-14,15.87,16.91,15.87,16.5,15.87,0.63,3.97
4,07-Jan-14,16.5,16.91,16.1,16.32,16.5,-0.18,-1.09
5,08-Jan-14,16.32,16.48,15.82,16.32,16.32,0,0
6,09-Jan-14,16.32,16.64,15.9,16.18,16.32,-0.14,-0.86
7,10-Jan-14,16.18,16.37,15.02,15.58,16.18,-0.6,-3.71
8,13-Jan-14,15.58,16.03,14.61,15.95,15.58,0.37,2.37
9,14-Jan-14,15.95,16.27,15.13,15.74,15.95,-0.21,-1.32
10,15-Jan-14,15.74,15.88,14.7,15.42,15.74,-0.32,-2.03
11,16-Jan-14,15.42,15.82,14.4,15.54,15.42,0.12,0.78
12,17-Jan-14,15.54,15.83,14.1,15.41,15.54,-0.13,-0.84
13,20-Jan-14,15.41,16.07,14.77,15.35,15.41,-0.06,-0.39
14,21-Jan-14,15.35,15.71,13.88,15.55,15.35,0.2,1.3
15,22-Jan-14,15.55,15.87,14.92,15.85,15.55,0.3,1.93
16,23-Jan-14,15.85,16.03,15.14,15.58,15.85,-0.27,-1.7
17,24-Jan-14,15.58,16.18,15.24,15.83,15.58,0.25,1.6
18,27-Jan-14,15.83,18.67,15.83,18.67,15.83,2.84,17.94
19,28-Jan-14,18.67,18.72,17.61,17.72,18.67,-0.95,-5.09
20,29-Jan-14,17.72,18.15,16.73,18.04,17.72,0.32,1.81
21,30-Jan-14,18.04,18.34,17.07,17.25,18.04,-0.79,-4.38
22,31-Jan-14,17.25,17.33,16.64,16.82,17.25,-0.43,-2.49
23,03-Feb-14,16.82,18.34,16.82,18.27,16.82,1.45,8.62
24,04-Feb-14,18.27,19.82,18.05,18.69,18.27,0.42,2.3
25,05-Feb-14,18.69,20.09,17.74,18.93,18.69,0.24,1.28
26,06-Feb-14,18.93,20.23,18,18.94,18.93,0.01,0.05
27,07-Feb-14,18.94,19.11,17.7,18.55,18.94,-0.39,-2.06
28,10-Feb-14,18.55,19.2,17.58,19.05,18.55,0.5,2.7
29,11-Feb-14,19.05,19.05,17.4,18.63,19.05,-0.42,-2.2
30,12-Feb-14,18.63,18.63,16.12,17.43,18.63,-1.2,-6.44
31,13-Feb-14,17.43,17.96,15.22,17.8,17.43,0.37,2.12
32,14-Feb-14,17.8,17.83,15.61,16.66,17.8,-1.14,-6.4
33,17-Feb-14,16.66,17.02,15.54,15.83,16.66,-0.83,-4.98
34,18-Feb-14,15.83,15.83,13.68,15.41,15.83,-0.42,-2.65
35,19-Feb-14,15.41,15.41,14.05,15.07,15.41,-0.34,-2.21
36,20-Feb-14,15.07,15.72,14.27,15.16,15.07,0.09,0.6
37,21-Feb-14,15.16,15.16,13.88,14.04,15.16,-1.12,-7.39
38,24-Feb-14,14.04,14.8275,13.685,14.3575,14.04,0.32,2.26
39,25-Feb-14,14.3575,14.3575,13.5325,13.95,14.3575,-0.41,-2.84
40,26-Feb-14,13.95,14.195,13.2375,13.955,13.95,0.01,0.04
41,28-Feb-14,13.955,14.87,13.545,14.1775,13.955,0.22,1.59
42,03-Mar-14,14.1775,15.7325,13.9425,15.2825,14.1775,1.11,7.79
43,04-Mar-14,15.2825,15.3675,13.9275,14.3925,15.2825,-0.89,-5.82
44,05-Mar-14,14.3925,14.4325,13.335,13.8425,14.3925,-0.55,-3.82
45,06-Mar-14,13.8425,14.6425,12.5,14.475,13.8425,0.63,4.57
46,07-Mar-14,14.475,16.905,13.2625,16.72,14.475,2.25,15.51
47,10-Mar-14,16.72,17.9875,15.95,17.7775,16.72,1.06,6.32
48,11-Mar-14,17.7775,17.9225,14.2675,17.325,17.7775,-0.45,-2.55
49,12-Mar-14,17.325,17.44,16.0875,17.04,17.325,-0.29,-1.65
50,13-Mar-14,17.04,17.0825,14.65,16.82,17.04,-0.22,-1.29
51,14-Mar-14,16.82,17.2875,14.2875,16.4475,16.82,-0.37,-2.21
52,18-Mar-14,16.4475,17.555,15.73,17.1275,16.4475,0.68,4.13
